,Rank,Player,Pos,Team,Bye,Yds,TD,Int,Yds,TD,Rec,Yds,TD,FPts,Value,Team
230,231,Josh Lambo,K28,JAC,7,--,--,--,--,--,--,--,--,119.2,-9.5,0
231,232,Cole Kmet,TE26,CHI,10,0,0,0,0,0,40,399,4,103.8,-10.9,0
232,233,Anthony McFarland Jr.,RB60,PIT,7,0,0,0,380,2.2,24,170,0.9,97.8,-11.5,0
233,234,Dallas Cowboys,DST22,DAL,7,--,--,--,--,--,--,--,--,95.2,-11.7,0
234,235,Carolina Panthers,DST23,CAR,13,--,--,--,--,--,--,--,--,94.4,-12.5,0
235,235,Tre'quan Smith,WR71,NO,6,0,0,0,15,0,46,606,3.4,128.2,-12.5,0
236,237,Minnesota Vikings,DST24,MIN,7,--,--,--,--,--,--,--,--,94.3,-12.6,0
237,238,Tennessee Titans,DST25,TEN,13,--,--,--,--,--,--,--,--,94.2,-12.7,0
238,239,Chris Herndon,TE27,MIN,7,0,0,0,0,0,39,426,3.3,101.3,-13.4,0
239,239,Matt Ammendola,K29,NYJ,6,--,--,--,--,--,--,--,--,115.3,-13.4,0
240,241,Darrynton Evans,RB61,TEN,13,0,0,0,321,1.2,27,217,1.2,95.4,-13.9,0
241,242,Christian Kirk,WR72,ARI,12,0,0,0,13,0,47,596,3.1,126.7,-14,0
242,243,Josh Palmer,WR73,LAC,7,0,0,0,7,0.1,42,597,3.9,126.6,-14.1,0
243,244,Los Angeles Chargers,DST26,LAC,7,--,--,--,--,--,--,--,--,92.3,-14.6,0
244,245,Kadarius Toney,WR74,NYG,10,0,0,0,46,0.6,44,524,3.5,125.8,-14.9,0
245,246,Sammy Watkins,WR75,BAL,8,0,0,0,0,0,46,530,4.4,125.5,-15.2,0
246,247,Drew Sample,TE28,CIN,10,0,0,0,0,0,42,409,2.8,99.4,-15.3,0
247,248,Mo Alie-Cox,TE29,IND,14,0,0,0,2,1.1,34,347,3.9,98.9,-15.8,0
248,249,Jake Elliott,K30,PHI,14,--,--,--,--,--,--,--,--,112.5,-16.2,0
249,250,Atlanta Falcons,DST27,ATL,6,--,--,--,--,--,--,--,--,90.3,-16.6,0
250,251,Eric Ebron,TE30,PIT,7,0,0,0,0,0,40,377,3.3,97.1,-17.6,0
251,252,Carlos Hyde,RB62,JAC,7,0,0,0,439,3.1,14,105,0.6,91,-18.3,0
252,253,Jamison Crowder,WR76,NYJ,6,11,0.2,0,14,0.2,48,547,2.6,121.8,-18.9,0
253,253,Ka'imi Fairbairn,K31,HOU,10,--,--,--,--,--,--,--,--,109.8,-18.9,0
254,253,Parris Campbell,WR76,IND,14,0,0,0,20,0,45,530,3.6,121.8,-18.9,0
255,253,Chatarius Atwell,WR76,LAR,11,0,0,0,26,0.2,46,543,3,121.8,-18.9,0
256,257,Dalton Schultz,TE31,DAL,7,0,0,0,0,0,40,404,2.6,95.7,-19,0
257,258,Nico Collins,WR79,HOU,10,0,0,0,11,0.2,45,553,3.2,121.6,-19.1,0
